,date
0,2024-01-02
1,2024-01-03
2,2024-01-04
3,2024-01-05
4,2024-01-08
5,2024-01-09
6,2024-01-10
7,2024-01-11
8,2024-01-12
9,2024-01-15
10,2024-01-16
11,2024-01-17
12,2024-01-18
13,2024-01-19
14,2024-01-22
15,2024-01-23
16,2024-01-24
17,2024-01-25
18,2024-01-26
19,2024-01-29
20,2024-01-30
21,2024-01-31
22,2024-02-01
23,2024-02-02
24,2024-02-05
25,2024-02-15
26,2024-02-16
27,2024-02-19
28,2024-02-20
29,2024-02-21
30,2024-02-22
31,2024-02-23
32,2024-02-26
33,2024-02-27
34,2024-02-29
35,2024-03-01
36,2024-03-04
37,2024-03-05
38,2024-03-06
39,2024-03-07
40,2024-03-08
41,2024-03-11
42,2024-03-12
43,2024-03-13
44,2024-03-14
45,2024-03-15
46,2024-03-18
47,2024-03-19
48,2024-03-20
49,2024-03-21
50,2024-03-22
51,2024-03-25
52,2024-03-26
53,2024-03-27
7238,2024-03-28
7354,2024-03-29
7470,2024-04-01
7586,2024-04-02
7702,2024-04-03
7818,2024-04-08
7934,2024-04-09
8050,2024-04-10
8166,2024-04-11
8282,2024-04-12
8398,2024-04-15
8514,2024-04-16
8630,2024-04-17
8746,2024-04-18
8862,2024-04-19
8978,2024-04-22
9094,2024-04-23
9210,2024-04-24
9326,2024-04-25
9442,2024-04-26
9558,2024-04-29
9674,2024-04-30
9790,2024-05-02
